,PLAYER_ID,BBallRefUrl,Url,Name,Season,Offensive Position,Defensive Position,Archetype
436,1717,http://www.basketball-reference.com/players/n/nowitdi01.html,http://basketball.realgm.com/player/Dirk-Nowitzki/Summary/308,Dirk Nowitzki,2015,Big,Interior,Shooting Big
437,1717,http://www.basketball-reference.com/players/n/nowitdi01.html,http://basketball.realgm.com/player/Dirk-Nowitzki/Summary/308,Dirk Nowitzki,2016,Big,Interior,Shooting Big
438,1717,http://www.basketball-reference.com/players/n/nowitdi01.html,http://basketball.realgm.com/player/Dirk-Nowitzki/Summary/308,Dirk Nowitzki,2017,Big,Interior,Shooting Big
439,202388,http://www.basketball-reference.com/players/s/sloando01.html,http://basketball.realgm.com/player/Donald-Sloan/Summary/2558,Donald Sloan,2014,Ball-Handler,Guard,Attacking BH
440,202388,http://www.basketball-reference.com/players/s/sloando01.html,http://basketball.realgm.com/player/Donald-Sloan/Summary/2558,Donald Sloan,2015,Ball-Handler,Guard,Attacking BH
441,202388,http://www.basketball-reference.com/players/s/sloando01.html,http://basketball.realgm.com/player/Donald-Sloan/Summary/2558,Donald Sloan,2016,Ball-Handler,Guard,Attacking BH
442,202700,http://www.basketball-reference.com/players/m/motiedo01.html,http://basketball.realgm.com/player/Donatas-Motiejunas/Summary/2314,Donatas Motiejunas,2014,Big,Interior,Shooting Big
443,202700,http://www.basketball-reference.com/players/m/motiedo01.html,http://basketball.realgm.com/player/Donatas-Motiejunas/Summary/2314,Donatas Motiejunas,2015,Big,Interior,Diving Big
444,202700,http://www.basketball-reference.com/players/m/motiedo01.html,http://basketball.realgm.com/player/Donatas-Motiejunas/Summary/2314,Donatas Motiejunas,2016,Big,Forward,Shooting Big
445,202700,http://www.basketball-reference.com/players/m/motiedo01.html,http://basketball.realgm.com/player/Donatas-Motiejunas/Summary/2314,Donatas Motiejunas,2017,Big,Interior,Shooting Big
446,2748,http://www.basketball-reference.com/players/w/wrighdo01.html,http://basketball.realgm.com/player/Dorell-Wright/Summary/387,Dorell Wright,2014,Wing,Forward,Shooting Wing
