,GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,Season
29,Lineups,203544 - 201960 - 2594 - 200794 - 201952,"Antic,Pero - Carroll,DeMarre - Korver,Kyle - Millsap,Paul - Teague,Jeff",1610612737,ATL,24,15,9,0.625,298.0,106.1,101.9,4.1,0.724,1.94,19.6,0.223,0.757,0.483,0.139,0.508,0.55,93.56,0.517,92,91,12112,4537,30,4915,6106,4859,2968,1978,3506,4729,5327,6305,6731,4351,4978,7442,5196,2013-14
30,Lineups,201162 - 201933 - 201599 - 101108 - 200755,"Dudley,Jared - Griffin,Blake - Jordan,DeAndre - Paul,Chris - Redick,JJ",1610612746,LAC,16,11,5,0.688,290.0,109.4,101.6,7.8,0.733,2.2,22.3,0.23,0.786,0.513,0.143,0.546,0.575,98.26,0.558,211,157,11589,4039,31,4482,6032,4532,2925,1189,2373,4703,5023,4440,6891,3910,4396,5571,4660,2013-14
31,Lineups,2546 - 2199 - 101109 - 2747 - 2405,"Anthony,Carmelo - Chandler,Tyson - Felton,Raymond - Smith,J.R. - Stoudemire,Amar'e",1610612752,NYK,25,12,13,0.48,286.0,111.5,112.1,-0.6,0.575,1.97,18.4,0.244,0.722,0.49,0.126,0.54,0.569,89.42,0.504,82,136,12217,6181,32,4272,7352,6240,4717,1964,3971,4577,6093,6239,6330,4009,4523,8909,5312,2013-14
32,Lineups,2207 - 2733 - 1718 - 203486 - 101114,"Johnson,Joe - Livingston,Shaun - Pierce,Paul - Plumlee,Mason - Williams,Deron",1610612751,BKN,26,18,8,0.692,284.0,113.7,107.1,6.6,0.605,1.6,19.1,0.227,0.692,0.469,0.16,0.576,0.612,88.88,0.534,76,65,12046,4027,33,3976,6875,4635,4305,2335,3675,4716,6439,6509,7495,3449,3710,9087,4981,2013-14
33,Lineups,2037 - 201162 - 201933 - 201599 - 101108,"Crawford,Jamal - Dudley,Jared - Griffin,Blake - Jordan,DeAndre - Paul,Chris",1610612746,LAC,36,22,14,0.611,273.0,106.8,99.6,7.2,0.712,1.85,20.7,0.244,0.764,0.51,0.155,0.529,0.563,99.25,0.55,31,33,12233,4586,34,4744,5218,4582,3093,2034,2845,4575,5284,4468,7360,4129,4736,5220,4758,2013-14
34,Lineups,2440 - 2037 - 201933 - 201599 - 101108,"Barnes,Matt - Crawford,Jamal - Griffin,Blake - Jordan,DeAndre - Paul,Chris",1610612746,LAC,28,20,8,0.714,271.0,117.5,97.1,20.4,0.664,2.23,20.2,0.233,0.721,0.498,0.124,0.564,0.604,100.07,0.632,62,49,12046,3954,35,3629,5036,3588,3937,1182,3073,4652,6096,6201,6227,3638,3837,4942,3790,2013-14
35,Lineups,2772 - 101162 - 2403 - 202322 - 101110,"Ariza,Trevor - Gortat,Marcin - Hilario,Nene - Wall,John - Webster,Martell",1610612764,WAS,40,23,17,0.575,265.0,107.0,96.2,10.9,0.615,1.64,17.8,0.203,0.821,0.511,0.144,0.528,0.567,97.18,0.568,21,27,12255,4749,36,4727,4959,4319,4252,2313,4197,4936,4499,4459,6899,4157,4637,5964,4545,2013-14
36,Lineups,1495 - 201980 - 202695 - 2225 - 201168,"Duncan,Tim - Green,Danny - Leonard,Kawhi - Parker,Tony - Splitter,Tiago",1610612759,SAS,30,25,5,0.833,262.0,102.1,87.5,14.6,0.604,1.82,18.7,0.193,0.796,0.513,0.138,0.505,0.537,95.97,0.59,54,19,11589,3547,37,5409,4245,4052,4307,2062,3790,5313,4978,4443,6720,4367,5232,6489,4280,2013-14
37,Lineups,101181 - 1713 - 2223 - 101145 - 1890,"Calderon,Jose - Carter,Vince - Dalembert,Samuel - Ellis,Monta - Marion,Shawn",1610612742,DAL,66,42,24,0.636,258.0,101.7,103.9,-2.2,0.584,1.6,17.3,0.243,0.758,0.509,0.145,0.499,0.526,93.4,0.474,4,3,12279,4526,38,5515,6419,6370,4647,2360,4392,4578,5320,4481,6952,5798,5515,7499,5869,2013-14
38,Lineups,201943 - 202328 - 202713 - 2746 - 201155,"Jennings,Brandon - Monroe,Greg - Singler,Kyle - Smith,Josh - Stuckey,Rodney",1610612765,DET,56,22,34,0.393,248.0,96.0,107.2,-11.1,0.533,1.45,14.3,0.232,0.728,0.469,0.128,0.44,0.489,99.56,0.424,5,33,12289,6435,39,6621,6892,7093,5144,2707,5808,4659,6001,6519,6418,6540,6998,5109,6548,2013-14
39,Lineups,201942 - 200752 - 101161 - 200768 - 202685,"DeRozan,DeMar - Gay,Rudy - Johnson,Amir - Lowry,Kyle - Valanciunas,Jonas",1610612761,TOR,18,6,12,0.333,244.0,98.9,107.8,-8.9,0.533,1.14,15.4,0.312,0.737,0.504,0.183,0.474,0.512,90.75,0.411,174,438,12203,6491,40,6375,6945,6906,5115,3204,5339,3451,5931,4506,8270,5998,5879,8463,6705,2013-14
40,Lineups,2736 - 201150 - 202681 - 101127 - 202684,"Deng,Luol - Hawes,Spencer - Irving,Kyrie - Jack,Jarrett - Thompson,Tristan",1610612739,CLE,13,5,8,0.385,240.0,107.1,104.5,2.6,0.617,1.8,18.2,0.285,0.794,0.549,0.139,0.505,0.544,95.05,0.51,322,580,12046,6438,41,4714,6523,4994,4221,2069,4017,3816,4991,3855,6747,4368,5088,6819,5262,2013-14
41,Lineups,201971 - 101181 - 101145 - 1890 - 1717,"Blair,DeJuan - Calderon,Jose - Ellis,Monta - Marion,Shawn - Nowitzki,Dirk",1610612742,DAL,49,27,22,0.551,229.0,113.2,112.5,0.6,0.665,2.51,21.9,0.207,0.7,0.459,0.121,0.557,0.586,98.58,0.52,10,14,12273,4836,42,4101,7381,5155,3935,941,2516,4913,6348,6688,6175,3738,4183,5468,5151,2013-14
42,Lineups,202326 - 200752 - 202738 - 201574 - 201977,"Cousins,DeMarcus - Gay,Rudy - Thomas,Isaiah - Thompson,Jason - Thornton,Marcus",1610612758,SAC,19,11,8,0.579,228.0,107.9,96.7,11.2,0.55,1.24,16.5,0.358,0.81,0.587,0.183,0.522,0.559,95.77,0.571,158,157,12046,4747,43,4639,5001,4287,5007,3084,4930,2538,4600,3138,8260,4221,4800,6554,4524,2013-14
